x,y,predicted_stage,stage_name,num_observations
2,0,0,bbch_00,1
0,0,6,bbch_99,1
3,0,0,bbch_00,1
1,0,0,bbch_00,1
5,0,0,bbch_00,1
4,0,0,bbch_00,1
6,0,0,bbch_00,1
7,0,0,bbch_00,1
9,0,0,bbch_00,1
10,0,0,bbch_00,1
8,0,0,bbch_00,1
11,0,6,bbch_99,1
12,0,0,bbch_00,1
13,0,6,bbch_99,1
15,0,0,bbch_00,1
14,0,0,bbch_00,1
16,0,6,bbch_99,1
17,0,6,bbch_99,1
18,0,6,bbch_99,1
19,0,0,bbch_00,1
20,0,6,bbch_99,1
21,0,6,bbch_99,1
22,0,6,bbch_99,1
0,1,6,bbch_99,1
1,1,6,bbch_99,1
2,1,0,bbch_00,1
3,1,0,bbch_00,1
4,1,0,bbch_00,1
5,1,0,bbch_00,1
6,1,0,bbch_00,1
7,1,0,bbch_00,1
8,1,0,bbch_00,1
9,1,0,bbch_00,1
10,1,0,bbch_00,1
11,1,6,bbch_99,1
12,1,6,bbch_99,1
13,1,6,bbch_99,1
14,1,6,bbch_99,1
15,1,6,bbch_99,1
16,1,6,bbch_99,1
17,1,6,bbch_99,1
19,1,5,bbch_87,1
18,1,6,bbch_99,1
20,1,6,bbch_99,1
21,1,6,bbch_99,1
0,2,0,bbch_00,1
22,1,6,bbch_99,1
1,2,6,bbch_99,1
2,2,0,bbch_00,1
4,2,0,bbch_00,1
3,2,0,bbch_00,1
5,2,0,bbch_00,1
6,2,0,bbch_00,1
7,2,0,bbch_00,1
8,2,0,bbch_00,1
9,2,0,bbch_00,1
10,2,0,bbch_00,1
11,2,6,bbch_99,1
12,2,6,bbch_99,1
13,2,6,bbch_99,1
14,2,6,bbch_99,1
15,2,6,bbch_99,1
16,2,6,bbch_99,1
17,2,6,bbch_99,1
18,2,6,bbch_99,1
19,2,6,bbch_99,1
20,2,6,bbch_99,1
22,2,6,bbch_99,1
21,2,6,bbch_99,1
0,3,6,bbch_99,1
1,3,6,bbch_99,1
2,3,6,bbch_99,1
3,3,0,bbch_00,1
4,3,0,bbch_00,1
5,3,0,bbch_00,1
7,3,6,bbch_99,1
6,3,6,bbch_99,1
8,3,6,bbch_99,1
10,3,3,bbch_51,1
9,3,5,bbch_87,1
11,3,2,bbch_31,1
12,3,5,bbch_87,1
13,3,6,bbch_99,1
14,3,5,bbch_87,1
15,3,0,bbch_00,1
16,3,0,bbch_00,1
17,3,6,bbch_99,1
18,3,6,bbch_99,1
19,3,6,bbch_99,1
21,3,6,bbch_99,1
22,3,0,bbch_00,1
20,3,6,bbch_99,1
0,4,0,bbch_00,1
1,4,6,bbch_99,1
2,4,0,bbch_00,1
3,4,0,bbch_00,1
4,4,0,bbch_00,1
5,4,0,bbch_00,1
6,4,0,bbch_00,1
7,4,2,bbch_31,1
8,4,3,bbch_51,1
9,4,3,bbch_51,1
10,4,2,bbch_31,1
11,4,2,bbch_31,1
15,4,0,bbch_00,1
13,4,6,bbch_99,1
14,4,5,bbch_87,1
12,4,2,bbch_31,1
16,4,6,bbch_99,1
18,4,6,bbch_99,1
19,4,6,bbch_99,1
17,4,6,bbch_99,1
20,4,6,bbch_99,1
22,4,6,bbch_99,1
21,4,6,bbch_99,1
0,5,0,bbch_00,1
3,5,5,bbch_87,1
2,5,6,bbch_99,1
1,5,6,bbch_99,1
4,5,5,bbch_87,1
5,5,5,bbch_87,1
6,5,2,bbch_31,1
7,5,2,bbch_31,1
8,5,2,bbch_31,1
9,5,2,bbch_31,1
10,5,2,bbch_31,1
11,5,2,bbch_31,1
12,5,2,bbch_31,1
13,5,3,bbch_51,1
14,5,2,bbch_31,1
16,5,6,bbch_99,1
15,5,6,bbch_99,1
17,5,6,bbch_99,1
18,5,6,bbch_99,1
20,5,6,bbch_99,1
19,5,6,bbch_99,1
21,5,6,bbch_99,1
22,5,6,bbch_99,1
0,6,3,bbch_51,1
1,6,6,bbch_99,1
3,6,3,bbch_51,1
2,6,5,bbch_87,1
4,6,5,bbch_87,1
5,6,5,bbch_87,1
7,6,3,bbch_51,1
6,6,5,bbch_87,1
8,6,5,bbch_87,1
9,6,3,bbch_51,1
10,6,3,bbch_51,1
11,6,3,bbch_51,1
12,6,3,bbch_51,1
14,6,5,bbch_87,1
13,6,5,bbch_87,1
15,6,6,bbch_99,1
18,6,6,bbch_99,1
17,6,6,bbch_99,1
16,6,6,bbch_99,1
19,6,6,bbch_99,1
20,6,6,bbch_99,1
21,6,6,bbch_99,1
22,6,6,bbch_99,1
0,7,6,bbch_99,1
1,7,5,bbch_87,1
2,7,5,bbch_87,1
3,7,2,bbch_31,1
4,7,2,bbch_31,1
5,7,5,bbch_87,1
7,7,5,bbch_87,1
8,7,3,bbch_51,1
6,7,3,bbch_51,1
9,7,5,bbch_87,1
10,7,5,bbch_87,1
12,7,5,bbch_87,1
11,7,5,bbch_87,1
13,7,5,bbch_87,1
14,7,5,bbch_87,1
15,7,6,bbch_99,1
16,7,6,bbch_99,1
17,7,6,bbch_99,1
18,7,6,bbch_99,1
19,7,6,bbch_99,1
20,7,6,bbch_99,1
21,7,6,bbch_99,1
22,7,6,bbch_99,1
0,8,6,bbch_99,1
1,8,5,bbch_87,1
2,8,5,bbch_87,1
4,8,2,bbch_31,1
3,8,5,bbch_87,1
5,8,2,bbch_31,1
6,8,2,bbch_31,1
8,8,2,bbch_31,1
7,8,2,bbch_31,1
9,8,5,bbch_87,1
10,8,3,bbch_51,1
11,8,5,bbch_87,1
12,8,5,bbch_87,1
13,8,5,bbch_87,1
15,8,6,bbch_99,1
16,8,6,bbch_99,1
14,8,5,bbch_87,1
17,8,6,bbch_99,1
18,8,6,bbch_99,1
19,8,6,bbch_99,1
20,8,6,bbch_99,1
21,8,0,bbch_00,1
22,8,6,bbch_99,1
0,9,6,bbch_99,1
1,9,0,bbch_00,1
2,9,2,bbch_31,1
3,9,5,bbch_87,1
4,9,5,bbch_87,1
5,9,3,bbch_51,1
6,9,5,bbch_87,1
7,9,5,bbch_87,1
8,9,5,bbch_87,1
9,9,5,bbch_87,1
10,9,5,bbch_87,1
11,9,5,bbch_87,1
12,9,5,bbch_87,1
13,9,6,bbch_99,1
14,9,6,bbch_99,1
15,9,5,bbch_87,1
16,9,5,bbch_87,1
17,9,6,bbch_99,1
19,9,6,bbch_99,1
18,9,6,bbch_99,1
20,9,6,bbch_99,1
21,9,6,bbch_99,1
22,9,6,bbch_99,1
0,10,6,bbch_99,1
1,10,3,bbch_51,1
2,10,5,bbch_87,1
4,10,5,bbch_87,1
5,10,5,bbch_87,1
3,10,5,bbch_87,1
6,10,5,bbch_87,1
8,10,5,bbch_87,1
7,10,5,bbch_87,1
9,10,5,bbch_87,1
10,10,5,bbch_87,1
13,10,6,bbch_99,1
11,10,5,bbch_87,1
12,10,5,bbch_87,1
14,10,6,bbch_99,1
17,10,6,bbch_99,1
15,10,6,bbch_99,1
16,10,6,bbch_99,1
18,10,6,bbch_99,1
21,10,6,bbch_99,1
20,10,6,bbch_99,1
19,10,6,bbch_99,1
22,10,6,bbch_99,1
3,11,6,bbch_99,1
0,11,6,bbch_99,1
2,11,6,bbch_99,1
1,11,0,bbch_00,1
5,11,0,bbch_00,1
7,11,5,bbch_87,1
6,11,6,bbch_99,1
4,11,6,bbch_99,1
8,11,5,bbch_87,1
10,11,5,bbch_87,1
9,11,3,bbch_51,1
11,11,5,bbch_87,1
13,11,5,bbch_87,1
12,11,5,bbch_87,1
14,11,5,bbch_87,1
15,11,5,bbch_87,1
16,11,5,bbch_87,1
17,11,6,bbch_99,1
18,11,5,bbch_87,1
19,11,6,bbch_99,1
20,11,6,bbch_99,1
21,11,6,bbch_99,1
22,11,6,bbch_99,1
1,12,2,bbch_31,1
2,12,0,bbch_00,1
0,12,6,bbch_99,1
3,12,0,bbch_00,1
4,12,0,bbch_00,1
6,12,6,bbch_99,1
5,12,0,bbch_00,1
8,12,5,bbch_87,1
7,12,5,bbch_87,1
10,12,2,bbch_31,1
9,12,2,bbch_31,1
13,12,6,bbch_99,1
11,12,5,bbch_87,1
12,12,6,bbch_99,1
14,12,6,bbch_99,1
15,12,6,bbch_99,1
16,12,6,bbch_99,1
17,12,6,bbch_99,1
18,12,6,bbch_99,1
21,12,6,bbch_99,1
20,12,6,bbch_99,1
19,12,6,bbch_99,1
22,12,6,bbch_99,1
2,13,0,bbch_00,1
1,13,3,bbch_51,1
0,13,6,bbch_99,1
3,13,0,bbch_00,1
6,13,6,bbch_99,1
4,13,0,bbch_00,1
5,13,6,bbch_99,1
7,13,3,bbch_51,1
9,13,2,bbch_31,1
8,13,2,bbch_31,1
10,13,2,bbch_31,1
11,13,5,bbch_87,1
13,13,6,bbch_99,1
12,13,6,bbch_99,1
14,13,6,bbch_99,1
15,13,6,bbch_99,1
18,13,6,bbch_99,1
17,13,6,bbch_99,1
16,13,6,bbch_99,1
19,13,6,bbch_99,1
0,14,6,bbch_99,1
20,13,6,bbch_99,1
21,13,6,bbch_99,1
22,13,6,bbch_99,1
2,14,6,bbch_99,1
4,14,6,bbch_99,1
3,14,0,bbch_00,1
1,14,6,bbch_99,1
5,14,6,bbch_99,1
6,14,5,bbch_87,1
7,14,3,bbch_51,1
8,14,6,bbch_99,1
11,14,6,bbch_99,1
9,14,2,bbch_31,1
12,14,6,bbch_99,1
10,14,5,bbch_87,1
15,14,6,bbch_99,1
13,14,6,bbch_99,1
14,14,6,bbch_99,1
16,14,6,bbch_99,1
19,14,6,bbch_99,1
18,14,6,bbch_99,1
17,14,6,bbch_99,1
20,14,6,bbch_99,1
22,14,6,bbch_99,1
0,15,2,bbch_31,1
21,14,6,bbch_99,1
1,15,6,bbch_99,1
3,15,3,bbch_51,1
4,15,6,bbch_99,1
2,15,6,bbch_99,1
5,15,6,bbch_99,1
7,15,6,bbch_99,1
6,15,6,bbch_99,1
8,15,6,bbch_99,1
9,15,6,bbch_99,1
10,15,6,bbch_99,1
11,15,6,bbch_99,1
12,15,6,bbch_99,1
13,15,6,bbch_99,1
14,15,6,bbch_99,1
16,15,6,bbch_99,1
15,15,6,bbch_99,1
17,15,6,bbch_99,1
19,15,0,bbch_00,1
18,15,6,bbch_99,1
20,15,0,bbch_00,1
21,15,0,bbch_00,1
1,16,2,bbch_31,1
0,16,2,bbch_31,1
22,15,6,bbch_99,1
2,16,6,bbch_99,1
3,16,5,bbch_87,1
4,16,6,bbch_99,1
5,16,6,bbch_99,1
6,16,6,bbch_99,1
7,16,6,bbch_99,1
8,16,6,bbch_99,1
9,16,6,bbch_99,1
10,16,6,bbch_99,1
11,16,6,bbch_99,1
12,16,6,bbch_99,1
13,16,0,bbch_00,1
15,16,0,bbch_00,1
14,16,0,bbch_00,1
16,16,0,bbch_00,1
17,16,0,bbch_00,1
18,16,0,bbch_00,1
19,16,0,bbch_00,1
20,16,0,bbch_00,1
21,16,0,bbch_00,1
22,16,0,bbch_00,1
