x,y,predicted_stage,stage_name,num_observations
3,0,2,bbch_31,1
1,0,2,bbch_31,1
0,0,6,bbch_99,1
2,0,2,bbch_31,1
4,0,2,bbch_31,1
5,0,0,bbch_00,1
8,0,6,bbch_99,1
6,0,0,bbch_00,1
7,0,0,bbch_00,1
9,0,6,bbch_99,1
10,0,6,bbch_99,1
12,0,0,bbch_00,1
11,0,6,bbch_99,1
13,0,0,bbch_00,1
14,0,0,bbch_00,1
15,0,0,bbch_00,1
18,0,2,bbch_31,1
19,0,0,bbch_00,1
16,0,0,bbch_00,1
17,0,0,bbch_00,1
20,0,0,bbch_00,1
21,0,0,bbch_00,1
22,0,0,bbch_00,1
23,0,0,bbch_00,1
24,0,0,bbch_00,1
25,0,0,bbch_00,1
28,0,0,bbch_00,1
29,0,2,bbch_31,1
26,0,6,bbch_99,1
27,0,6,bbch_99,1
31,0,0,bbch_00,1
30,0,0,bbch_00,1
33,0,1,bbch_10,1
32,0,1,bbch_10,1
34,0,1,bbch_10,1
37,0,3,bbch_51,1
35,0,0,bbch_00,1
36,0,0,bbch_00,1
38,0,0,bbch_00,1
39,0,0,bbch_00,1
42,0,2,bbch_31,1
40,0,2,bbch_31,1
41,0,2,bbch_31,1
43,0,0,bbch_00,1
44,0,1,bbch_10,1
45,0,0,bbch_00,1
47,0,6,bbch_99,1
46,0,6,bbch_99,1
2,1,2,bbch_31,1
0,1,0,bbch_00,1
3,1,2,bbch_31,1
1,1,0,bbch_00,1
4,1,2,bbch_31,1
7,1,1,bbch_10,1
5,1,2,bbch_31,1
6,1,2,bbch_31,1
8,1,0,bbch_00,1
9,1,0,bbch_00,1
12,1,0,bbch_00,1
10,1,0,bbch_00,1
13,1,0,bbch_00,1
11,1,0,bbch_00,1
14,1,2,bbch_31,1
16,1,0,bbch_00,1
15,1,0,bbch_00,1
17,1,1,bbch_10,1
18,1,0,bbch_00,1
19,1,0,bbch_00,1
21,1,0,bbch_00,1
22,1,0,bbch_00,1
20,1,0,bbch_00,1
23,1,6,bbch_99,1
24,1,0,bbch_00,1
25,1,0,bbch_00,1
26,1,6,bbch_99,1
28,1,1,bbch_10,1
27,1,6,bbch_99,1
29,1,0,bbch_00,1
30,1,6,bbch_99,1
31,1,6,bbch_99,1
32,1,6,bbch_99,1
34,1,0,bbch_00,1
33,1,6,bbch_99,1
35,1,0,bbch_00,1
36,1,0,bbch_00,1
37,1,0,bbch_00,1
38,1,1,bbch_10,1
39,1,0,bbch_00,1
41,1,1,bbch_10,1
40,1,1,bbch_10,1
43,1,6,bbch_99,1
42,1,0,bbch_00,1
44,1,3,bbch_51,1
46,1,3,bbch_51,1
45,1,3,bbch_51,1
0,2,0,bbch_00,1
47,1,3,bbch_51,1
1,2,0,bbch_00,1
3,2,1,bbch_10,1
2,2,6,bbch_99,1
5,2,2,bbch_31,1
4,2,2,bbch_31,1
6,2,0,bbch_00,1
8,2,2,bbch_31,1
7,2,2,bbch_31,1
10,2,2,bbch_31,1
9,2,2,bbch_31,1
11,2,0,bbch_00,1
14,2,1,bbch_10,1
13,2,0,bbch_00,1
12,2,0,bbch_00,1
15,2,1,bbch_10,1
16,2,0,bbch_00,1
18,2,2,bbch_31,1
17,2,1,bbch_10,1
20,2,1,bbch_10,1
21,2,0,bbch_00,1
19,2,0,bbch_00,1
23,2,6,bbch_99,1
24,2,6,bbch_99,1
22,2,0,bbch_00,1
25,2,6,bbch_99,1
27,2,0,bbch_00,1
28,2,1,bbch_10,1
26,2,6,bbch_99,1
29,2,0,bbch_00,1
30,2,6,bbch_99,1
31,2,0,bbch_00,1
32,2,0,bbch_00,1
33,2,0,bbch_00,1
35,2,0,bbch_00,1
34,2,0,bbch_00,1
36,2,6,bbch_99,1
37,2,6,bbch_99,1
38,2,6,bbch_99,1
40,2,6,bbch_99,1
41,2,0,bbch_00,1
39,2,6,bbch_99,1
42,2,0,bbch_00,1
43,2,6,bbch_99,1
45,2,3,bbch_51,1
44,2,3,bbch_51,1
46,2,3,bbch_51,1
47,2,3,bbch_51,1
1,3,1,bbch_10,1
0,3,0,bbch_00,1
3,3,0,bbch_00,1
2,3,0,bbch_00,1
4,3,2,bbch_31,1
5,3,2,bbch_31,1
7,3,2,bbch_31,1
6,3,2,bbch_31,1
9,3,2,bbch_31,1
8,3,2,bbch_31,1
11,3,0,bbch_00,1
10,3,2,bbch_31,1
12,3,0,bbch_00,1
13,3,0,bbch_00,1
14,3,0,bbch_00,1
15,3,2,bbch_31,1
16,3,0,bbch_00,1
17,3,2,bbch_31,1
18,3,2,bbch_31,1
19,3,0,bbch_00,1
20,3,0,bbch_00,1
21,3,0,bbch_00,1
22,3,1,bbch_10,1
25,3,0,bbch_00,1
23,3,6,bbch_99,1
24,3,0,bbch_00,1
26,3,0,bbch_00,1
27,3,0,bbch_00,1
28,3,0,bbch_00,1
29,3,0,bbch_00,1
30,3,2,bbch_31,1
31,3,2,bbch_31,1
34,3,0,bbch_00,1
32,3,2,bbch_31,1
33,3,0,bbch_00,1
36,3,2,bbch_31,1
35,3,0,bbch_00,1
38,3,0,bbch_00,1
37,3,3,bbch_51,1
39,3,0,bbch_00,1
40,3,1,bbch_10,1
41,3,1,bbch_10,1
42,3,0,bbch_00,1
43,3,6,bbch_99,1
47,3,3,bbch_51,1
44,3,3,bbch_51,1
45,3,3,bbch_51,1
46,3,3,bbch_51,1
0,4,0,bbch_00,1
2,4,0,bbch_00,1
1,4,0,bbch_00,1
4,4,1,bbch_10,1
3,4,1,bbch_10,1
5,4,2,bbch_31,1
6,4,2,bbch_31,1
7,4,2,bbch_31,1
8,4,3,bbch_51,1
9,4,0,bbch_00,1
11,4,0,bbch_00,1
10,4,6,bbch_99,1
12,4,0,bbch_00,1
13,4,0,bbch_00,1
14,4,0,bbch_00,1
15,4,0,bbch_00,1
16,4,2,bbch_31,1
18,4,0,bbch_00,1
17,4,0,bbch_00,1
19,4,0,bbch_00,1
23,4,6,bbch_99,1
20,4,0,bbch_00,1
21,4,0,bbch_00,1
22,4,0,bbch_00,1
24,4,0,bbch_00,1
25,4,0,bbch_00,1
26,4,1,bbch_10,1
27,4,6,bbch_99,1
28,4,6,bbch_99,1
31,4,2,bbch_31,1
29,4,0,bbch_00,1
30,4,2,bbch_31,1
32,4,6,bbch_99,1
33,4,0,bbch_00,1
34,4,0,bbch_00,1
35,4,0,bbch_00,1
36,4,3,bbch_51,1
37,4,3,bbch_51,1
40,4,2,bbch_31,1
38,4,0,bbch_00,1
39,4,0,bbch_00,1
41,4,1,bbch_10,1
42,4,0,bbch_00,1
43,4,6,bbch_99,1
44,4,3,bbch_51,1
45,4,3,bbch_51,1
46,4,3,bbch_51,1
47,4,3,bbch_51,1
0,5,0,bbch_00,1
1,5,6,bbch_99,1
4,5,1,bbch_10,1
2,5,6,bbch_99,1
3,5,1,bbch_10,1
