x,y,predicted_stage,stage_name,num_observations
2,0,3,bbch_51,1
1,0,3,bbch_51,1
3,0,3,bbch_51,1
0,0,4,bbch_75,1
4,0,3,bbch_51,1
8,0,4,bbch_75,1
5,0,4,bbch_75,1
6,0,4,bbch_75,1
7,0,4,bbch_75,1
9,0,4,bbch_75,1
10,0,3,bbch_51,1
11,0,4,bbch_75,1
13,0,4,bbch_75,1
12,0,4,bbch_75,1
16,0,3,bbch_51,1
14,0,3,bbch_51,1
15,0,3,bbch_51,1
17,0,3,bbch_51,1
18,0,3,bbch_51,1
19,0,0,bbch_00,1
20,0,0,bbch_00,1
22,0,0,bbch_00,1
21,0,0,bbch_00,1
3,1,3,bbch_51,1
2,1,3,bbch_51,1
0,1,3,bbch_51,1
1,1,3,bbch_51,1
4,1,3,bbch_51,1
7,1,4,bbch_75,1
6,1,4,bbch_75,1
5,1,4,bbch_75,1
9,1,4,bbch_75,1
8,1,4,bbch_75,1
10,1,4,bbch_75,1
12,1,3,bbch_51,1
11,1,4,bbch_75,1
13,1,3,bbch_51,1
15,1,0,bbch_00,1
14,1,3,bbch_51,1
16,1,0,bbch_00,1
17,1,0,bbch_00,1
19,1,0,bbch_00,1
20,1,0,bbch_00,1
18,1,0,bbch_00,1
21,1,0,bbch_00,1
22,1,0,bbch_00,1
0,2,3,bbch_51,1
1,2,3,bbch_51,1
3,2,3,bbch_51,1
2,2,3,bbch_51,1
4,2,3,bbch_51,1
5,2,3,bbch_51,1
7,2,3,bbch_51,1
6,2,4,bbch_75,1
8,2,3,bbch_51,1
10,2,3,bbch_51,1
9,2,4,bbch_75,1
11,2,3,bbch_51,1
14,2,3,bbch_51,1
13,2,3,bbch_51,1
12,2,3,bbch_51,1
15,2,0,bbch_00,1
17,2,0,bbch_00,1
16,2,0,bbch_00,1
18,2,0,bbch_00,1
19,2,0,bbch_00,1
20,2,0,bbch_00,1
21,2,0,bbch_00,1
22,2,0,bbch_00,1
0,3,3,bbch_51,1
2,3,3,bbch_51,1
1,3,3,bbch_51,1
3,3,3,bbch_51,1
5,3,3,bbch_51,1
4,3,3,bbch_51,1
6,3,3,bbch_51,1
9,3,3,bbch_51,1
7,3,3,bbch_51,1
8,3,3,bbch_51,1
10,3,3,bbch_51,1
11,3,3,bbch_51,1
12,3,3,bbch_51,1
13,3,3,bbch_51,1
14,3,3,bbch_51,1
15,3,3,bbch_51,1
16,3,3,bbch_51,1
17,3,3,bbch_51,1
19,3,0,bbch_00,1
18,3,3,bbch_51,1
20,3,0,bbch_00,1
21,3,0,bbch_00,1
22,3,0,bbch_00,1
0,4,3,bbch_51,1
1,4,3,bbch_51,1
3,4,3,bbch_51,1
2,4,3,bbch_51,1
4,4,3,bbch_51,1
5,4,3,bbch_51,1
6,4,3,bbch_51,1
7,4,3,bbch_51,1
8,4,3,bbch_51,1
10,4,3,bbch_51,1
9,4,3,bbch_51,1
11,4,3,bbch_51,1
13,4,3,bbch_51,1
12,4,3,bbch_51,1
16,4,3,bbch_51,1
14,4,3,bbch_51,1
15,4,3,bbch_51,1
17,4,3,bbch_51,1
18,4,3,bbch_51,1
19,4,0,bbch_00,1
20,4,0,bbch_00,1
21,4,0,bbch_00,1
22,4,0,bbch_00,1
1,5,0,bbch_00,1
0,5,0,bbch_00,1
2,5,3,bbch_51,1
4,5,3,bbch_51,1
3,5,3,bbch_51,1
5,5,3,bbch_51,1
7,5,3,bbch_51,1
6,5,3,bbch_51,1
8,5,3,bbch_51,1
9,5,3,bbch_51,1
11,5,3,bbch_51,1
10,5,3,bbch_51,1
12,5,3,bbch_51,1
