x,y,predicted_stage,stage_name,num_observations
3,0,3,bbch_51,1
2,0,3,bbch_51,1
1,0,3,bbch_51,1
0,0,3,bbch_51,1
4,0,3,bbch_51,1
5,0,3,bbch_51,1
6,0,3,bbch_51,1
8,0,3,bbch_51,1
7,0,3,bbch_51,1
9,0,3,bbch_51,1
10,0,3,bbch_51,1
11,0,3,bbch_51,1
13,0,3,bbch_51,1
14,0,3,bbch_51,1
12,0,3,bbch_51,1
16,0,3,bbch_51,1
17,0,3,bbch_51,1
15,0,3,bbch_51,1
18,0,3,bbch_51,1
19,0,3,bbch_51,1
22,0,3,bbch_51,1
21,0,3,bbch_51,1
20,0,3,bbch_51,1
23,0,3,bbch_51,1
24,0,3,bbch_51,1
27,0,4,bbch_75,1
25,0,4,bbch_75,1
26,0,4,bbch_75,1
28,0,4,bbch_75,1
29,0,4,bbch_75,1
32,0,3,bbch_51,1
31,0,4,bbch_75,1
30,0,4,bbch_75,1
33,0,3,bbch_51,1
34,0,3,bbch_51,1
36,0,0,bbch_00,1
35,0,0,bbch_00,1
37,0,0,bbch_00,1
38,0,0,bbch_00,1
41,0,0,bbch_00,1
39,0,0,bbch_00,1
40,0,0,bbch_00,1
42,0,0,bbch_00,1
43,0,0,bbch_00,1
2,1,3,bbch_51,1
1,1,3,bbch_51,1
0,1,3,bbch_51,1
4,1,3,bbch_51,1
5,1,3,bbch_51,1
3,1,3,bbch_51,1
6,1,3,bbch_51,1
7,1,3,bbch_51,1
8,1,3,bbch_51,1
9,1,3,bbch_51,1
10,1,3,bbch_51,1
12,1,3,bbch_51,1
11,1,3,bbch_51,1
13,1,3,bbch_51,1
15,1,3,bbch_51,1
17,1,3,bbch_51,1
14,1,3,bbch_51,1
16,1,3,bbch_51,1
18,1,3,bbch_51,1
21,1,3,bbch_51,1
19,1,3,bbch_51,1
22,1,3,bbch_51,1
20,1,3,bbch_51,1
23,1,3,bbch_51,1
25,1,3,bbch_51,1
24,1,3,bbch_51,1
26,1,4,bbch_75,1
27,1,3,bbch_51,1
30,1,3,bbch_51,1
29,1,4,bbch_75,1
28,1,3,bbch_51,1
31,1,3,bbch_51,1
32,1,3,bbch_51,1
34,1,3,bbch_51,1
33,1,3,bbch_51,1
35,1,3,bbch_51,1
36,1,0,bbch_00,1
38,1,0,bbch_00,1
40,1,0,bbch_00,1
39,1,0,bbch_00,1
37,1,0,bbch_00,1
41,1,0,bbch_00,1
42,1,0,bbch_00,1
43,1,0,bbch_00,1
0,2,3,bbch_51,1
2,2,3,bbch_51,1
1,2,3,bbch_51,1
4,2,3,bbch_51,1
3,2,3,bbch_51,1
5,2,3,bbch_51,1
